,WD_similar,FV_similar,WD_similar_AVG,FV_similar_AVG,compound_counts,compound_AVG,food_count,name,ingredients,SharedCompound,difference
0,{},{},0.0,0.0,"{('garlic', 'lemon'): 0, ('garlic', 'olive_oil'): 0, ('garlic', 'pepper'): 21, ('garlic', 'spinach'): 5, ('lemon', 'olive_oil'): 0, ('lemon', 'pepper'): 13, ('lemon', 'spinach'): 3, ('olive_oil', 'pepper'): 0, ('olive_oil', 'spinach'): 0, ('pepper', 'spinach'): 8}",5.0,5,Sauted Spinach,"['garlic', 'lemon', 'olive oil', 'pepper', 'spinach']",1,0.0
1,{},{},0.0,0.0,"{('parmesan_cheese', 'olive_oil'): 0, ('parmesan_cheese', 'spinach'): 0, ('olive_oil', 'spinach'): 0}",0.0,3,Quick and Easy Sauted Spinach,"['parmesan', 'olive oil', 'spinach']",0,0.0
2,{},{},0.0,0.0,"{('garlic', 'lemon'): 0, ('garlic', 'olive_oil'): 0, ('garlic', 'pepper'): 21, ('garlic', 'red_bell_pepper'): 6, ('garlic', 'spinach'): 5, ('lemon', 'olive_oil'): 0, ('lemon', 'pepper'): 13, ('lemon', 'red_bell_pepper'): 3, ('lemon', 'spinach'): 3, ('olive_oil', 'pepper'): 0, ('olive_oil', 'red_bell_pepper'): 0, ('olive_oil', 'spinach'): 0, ('pepper', 'red_bell_pepper'): 13, ('pepper', 'spinach'): 8, ('red_bell_pepper', 'spinach'): 5}",5.133333333333334,6,Perfect Sauteed Spinach,"['garlic', 'lemon', 'olive oil', 'pepper', 'red pepper flakes', 'spinach']",1,0.0
3,{},{},0.0,0.0,"{('garlic', 'olive_oil'): 0, ('garlic', 'spinach'): 5, ('olive_oil', 'spinach'): 0}",1.6666666666666667,3,Easy Sauted Spinach,"['garlic', 'olive oil', 'spinach']",1,0.0
4,{},{},0.0,0.0,"{('mustard', 'lettuce'): 2, ('mustard', 'flour'): 2, ('mustard', 'corn_oil'): 0, ('mustard', 'egg_roll'): 0, ('mustard', 'capers'): 1, ('mustard', 'garden_onion'): 0, ('mustard', 'catfish'): 0, ('mustard', 'eggs'): 8, ('mustard', 'vinegar'): 0, ('mustard', 'garden_tomato'): 5, ('mustard', 'wheat_bread'): 2, ('mustard', 'pepper'): 8, ('mustard', 'dill'): 3, ('mustard', 'fish_oil'): 0, ('lettuce', 'flour'): 2, ('lettuce', 'corn_oil'): 0, ('lettuce', 'egg_roll'): 2, ('lettuce', 'capers'): 3, ('lettuce', 'garden_onion'): 0, ('lettuce', 'catfish'): 1, ('lettuce', 'eggs'): 8, ('lettuce', 'vinegar'): 2, ('lettuce', 'garden_tomato'): 19, ('lettuce', 'wheat_bread'): 8, ('lettuce', 'pepper'): 20, ('lettuce', 'dill'): 4, ('lettuce', 'fish_oil'): 0, ('flour', 'corn_oil'): 0, ('flour', 'egg_roll'): 0, ('flour', 'capers'): 1, ('flour', 'garden_onion'): 0, ('flour', 'catfish'): 0, ('flour', 'eggs'): 7, ('flour', 'vinegar'): 0, ('flour', 'garden_tomato'): 5, ('flour', 'wheat_bread'): 2, ('flour', 'pepper'): 8, ('flour', 'dill'): 3, ('flour', 'fish_oil'): 0, ('corn_oil', 'egg_roll'): 0, ('corn_oil', 'capers'): 0, ('corn_oil', 'garden_onion'): 0, ('corn_oil', 'catfish'): 0, ('corn_oil', 'eggs'): 0, ('corn_oil', 'vinegar'): 0, ('corn_oil', 'garden_tomato'): 0, ('corn_oil', 'wheat_bread'): 0, ('corn_oil', 'pepper'): 0, ('corn_oil', 'dill'): 0, ('corn_oil', 'fish_oil'): 0, ('egg_roll', 'capers'): 0, ('egg_roll', 'garden_onion'): 1, ('egg_roll', 'catfish'): 1, ('egg_roll', 'eggs'): 18, ('egg_roll', 'vinegar'): 1, ('egg_roll', 'garden_tomato'): 5, ('egg_roll', 'wheat_bread'): 19, ('egg_roll', 'pepper'): 21, ('egg_roll', 'dill'): 0, ('egg_roll', 'fish_oil'): 0, ('capers', 'capers'): 3, ('capers', 'garden_onion'): 0, ('capers', 'catfish'): 0, ('capers', 'eggs'): 8, ('capers', 'vinegar'): 1, ('capers', 'garden_tomato'): 17, ('capers', 'wheat_bread'): 2, ('capers', 'pepper'): 16, ('capers', 'dill'): 4, ('capers', 'fish_oil'): 0, ('garden_onion', 'catfish'): 1, ('garden_onion', 'eggs'): 18, ('garden_onion', 'vinegar'): 0, ('garden_onion', 'garden_tomato'): 5, ('garden_onion', 'wheat_bread'): 17, ('garden_onion', 'pepper'): 21, ('garden_onion', 'dill'): 0, ('garden_onion', 'fish_oil'): 0, ('catfish', 'eggs'): 18, ('catfish', 'vinegar'): 0, ('catfish', 'garden_tomato'): 5, ('catfish', 'wheat_bread'): 21, ('catfish', 'pepper'): 21, ('catfish', 'dill'): 0, ('catfish', 'fish_oil'): 0, ('eggs', 'vinegar'): 0, ('eggs', 'garden_tomato'): 25, ('eggs', 'wheat_bread'): 24, ('eggs', 'pepper'): 36, ('eggs', 'dill'): 4, ('eggs', 'fish_oil'): 0, ('vinegar', 'garden_tomato'): 1, ('vinegar', 'wheat_bread'): 2, ('vinegar', 'pepper'): 3, ('vinegar', 'dill'): 0, ('vinegar', 'fish_oil'): 0, ('garden_tomato', 'wheat_bread'): 27, ('garden_tomato', 'pepper'): 38, ('garden_tomato', 'dill'): 4, ('garden_tomato', 'fish_oil'): 0, ('wheat_bread', 'pepper'): 35, ('wheat_bread', 'wheat_bread'): 44, ('wheat_bread', 'dill'): 3, ('wheat_bread', 'fish_oil'): 1, ('pepper', 'wheat_bread'): 27, ('pepper', 'dill'): 4, ('pepper', 'fish_oil'): 1, ('dill', 'fish_oil'): 0}",6.117647058823529,17,Crispy Fish Burger,"['mustard', 'lettuce', 'flour', 'oil', 'egg', 'capers', 'caper', 'onion', 'basa', 'york', 'vinegar', 'tomato', 'breadcrumb', 'pepper', 'bun', 'dill', 'fish']",1,0.0
5,{},{},0.0,0.0,"{('corn_oil', 'flour'): 0, ('corn_oil', 'egg_roll'): 0, ('corn_oil', 'parsley'): 0, ('corn_oil', 'mustard'): 0, ('corn_oil', 'white_sucker'): 0, ('corn_oil', 'wheat_bread'): 0, ('corn_oil', 'lemon'): 0, ('corn_oil', 'spread'): 0, ('corn_oil', 'dill'): 0, ('corn_oil', 'pepper__spice_'): 0, ('corn_oil', 'capers'): 0, ('corn_oil', 'meringue'): 0, ('corn_oil', 'processed_cheese'): 0, ('corn_oil', 'vinegar'): 0, ('corn_oil', 'eggs'): 0, ('corn_oil', 'fish_oil'): 0, ('flour', 'egg_roll'): 0, ('flour', 'parsley'): 1, ('flour', 'mustard'): 1, ('flour', 'white_sucker'): 0, ('flour', 'wheat_bread'): 2, ('flour', 'lemon'): 4, ('flour', 'spread'): 3, ('flour', 'dill'): 3, ('flour', 'pepper__spice_'): 2, ('flour', 'capers'): 1, ('flour', 'meringue'): 0, ('flour', 'processed_cheese'): 0, ('flour', 'vinegar'): 0, ('flour', 'eggs'): 7, ('flour', 'fish_oil'): 0, ('egg_roll', 'parsley'): 0, ('egg_roll', 'mustard'): 0, ('egg_roll', 'white_sucker'): 2, ('egg_roll', 'wheat_bread'): 19, ('egg_roll', 'lemon'): 1, ('egg_roll', 'spread'): 3, ('egg_roll', 'dill'): 0, ('egg_roll', 'pepper__spice_'): 1, ('egg_roll', 'capers'): 0, ('egg_roll', 'meringue'): 0, ('egg_roll', 'processed_cheese'): 5, ('egg_roll', 'vinegar'): 1, ('egg_roll', 'eggs'): 18, ('egg_roll', 'fish_oil'): 0, ('parsley', 'mustard'): 1, ('parsley', 'white_sucker'): 0, ('parsley', 'wheat_bread'): 3, ('parsley', 'lemon'): 4, ('parsley', 'spread'): 5, ('parsley', 'dill'): 4, ('parsley', 'pepper__spice_'): 2, ('parsley', 'capers'): 2, ('parsley', 'meringue'): 0, ('parsley', 'processed_cheese'): 0, ('parsley', 'vinegar'): 0, ('parsley', 'eggs'): 8, ('parsley', 'fish_oil'): 0, ('mustard', 'white_sucker'): 0, ('mustard', 'wheat_bread'): 2, ('mustard', 'lemon'): 4, ('mustard', 'spread'): 3, ('mustard', 'dill'): 3, ('mustard', 'pepper__spice_'): 2, ('mustard', 'capers'): 1, ('mustard', 'mustard'): 2, ('mustard', 'meringue'): 0, ('mustard', 'processed_cheese'): 4, ('mustard', 'vinegar'): 0, ('mustard', 'eggs'): 8, ('mustard', 'fish_oil'): 0, ('white_sucker', 'wheat_bread'): 17, ('white_sucker', 'lemon'): 0, ('white_sucker', 'spread'): 2, ('white_sucker', 'dill'): 0, ('white_sucker', 'pepper__spice_'): 0, ('white_sucker', 'capers'): 0, ('white_sucker', 'mustard'): 0, ('white_sucker', 'meringue'): 0, ('white_sucker', 'processed_cheese'): 1, ('white_sucker', 'vinegar'): 0, ('white_sucker', 'eggs'): 18, ('white_sucker', 'fish_oil'): 0, ('wheat_bread', 'lemon'): 6, ('wheat_bread', 'spread'): 9, ('wheat_bread', 'wheat_bread'): 44, ('wheat_bread', 'dill'): 3, ('wheat_bread', 'pepper__spice_'): 4, ('wheat_bread', 'capers'): 1, ('wheat_bread', 'mustard'): 1, ('wheat_bread', 'meringue'): 0, ('wheat_bread', 'processed_cheese'): 16, ('wheat_bread', 'vinegar'): 1, ('wheat_bread', 'eggs'): 35, ('wheat_bread', 'fish_oil'): 1, ('lemon', 'spread'): 5, ('lemon', 'wheat_bread'): 5, ('lemon', 'dill'): 3, ('lemon', 'pepper__spice_'): 3, ('lemon', 'capers'): 2, ('lemon', 'mustard'): 1, ('lemon', 'meringue'): 0, ('lemon', 'processed_cheese'): 6, ('lemon', 'vinegar'): 2, ('lemon', 'eggs'): 7, ('lemon', 'fish_oil'): 1, ('spread', 'wheat_bread'): 23, ('spread', 'dill'): 3, ('spread', 'pepper__spice_'): 3, ('spread', 'capers'): 1, ('spread', 'mustard'): 1, ('spread', 'meringue'): 0, ('spread', 'processed_cheese'): 7, ('spread', 'vinegar'): 1, ('spread', 'eggs'): 25, ('spread', 'fish_oil'): 1, ('dill', 'pepper__spice_'): 2, ('dill', 'capers'): 2, ('dill', 'mustard'): 1, ('dill', 'meringue'): 0, ('dill', 'processed_cheese'): 0, ('dill', 'vinegar'): 0, ('dill', 'eggs'): 8, ('dill', 'fish_oil'): 0, ('pepper__spice_', 'capers'): 1, ('pepper__spice_', 'mustard'): 1, ('pepper__spice_', 'meringue'): 0, ('pepper__spice_', 'processed_cheese'): 7, ('pepper__spice_', 'vinegar'): 1, ('pepper__spice_', 'eggs'): 9, ('pepper__spice_', 'fish_oil'): 0, ('capers', 'mustard'): 1, ('capers', 'meringue'): 0, ('capers', 'processed_cheese'): 0, ('capers', 'vinegar'): 1, ('capers', 'eggs'): 8, ('capers', 'fish_oil'): 0, ('meringue', 'processed_cheese'): 0, ('meringue', 'vinegar'): 0, ('meringue', 'eggs'): 0, ('meringue', 'fish_oil'): 0, ('processed_cheese', 'vinegar'): 1, ('processed_cheese', 'eggs'): 21, ('processed_cheese', 'fish_oil'): 1, ('vinegar', 'eggs'): 0, ('vinegar', 'vinegar'): 3, ('vinegar', 'fish_oil'): 0, ('eggs', 'vinegar'): 0, ('eggs', 'fish_oil'): 0}",3.0894736842105264,20,Homemade Filet-O-Fish Burger (BAKED!),"['oil', 'flour', 'egg', 'fresh parsley', 'dijon mustard', 'white fish fillets', 'breadcrumb', 'lemon', 'pickle', 'bun', 'dill pickle', 'black pepper', 'capers', 'mustard', 'white sugar', 'processed cheese', 'vinegar', 'york', 'vinegar', 'fish']",1,0.0
6,{},{},0.0,0.0,"{('mustard', 'garlic'): 0, ('mustard', 'corn_oil'): 0, ('mustard', 'avocado'): 0, ('mustard', 'cichlidae__tilapia_'): 0, ('mustard', 'egg_roll'): 0, ('mustard', 'sweet_basil'): 0, ('mustard', 'cucumber'): 2, ('mustard', 'pepper__capsicum_'): 0, ('mustard', 'garden_tomato'): 5, ('mustard', 'garden_onion'): 0, ('mustard', 'pepper'): 8, ('mustard', 'wheat_bread'): 2, ('garlic', 'corn_oil'): 0, ('garlic', 'avocado'): 2, ('garlic', 'cichlidae__tilapia_'): 2, ('garlic', 'egg_roll'): 1, ('garlic', 'sweet_basil'): 0, ('garlic', 'cucumber'): 8, ('garlic', 'pepper__capsicum_'): 0, ('garlic', 'garden_tomato'): 4, ('garlic', 'garden_onion'): 1, ('garlic', 'pepper'): 21, ('garlic', 'wheat_bread'): 18, ('corn_oil', 'avocado'): 0, ('corn_oil', 'cichlidae__tilapia_'): 0, ('corn_oil', 'egg_roll'): 0, ('corn_oil', 'sweet_basil'): 0, ('corn_oil', 'cucumber'): 0, ('corn_oil', 'pepper__capsicum_'): 0, ('corn_oil', 'garden_tomato'): 0, ('corn_oil', 'garden_onion'): 0, ('corn_oil', 'pepper'): 0, ('corn_oil', 'wheat_bread'): 0, ('avocado', 'cichlidae__tilapia_'): 0, ('avocado', 'egg_roll'): 2, ('avocado', 'sweet_basil'): 1, ('avocado', 'cucumber'): 1, ('avocado', 'pepper__capsicum_'): 0, ('avocado', 'garden_tomato'): 13, ('avocado', 'garden_onion'): 0, ('avocado', 'pepper'): 8, ('avocado', 'wheat_bread'): 3, ('cichlidae__tilapia_', 'egg_roll'): 1, ('cichlidae__tilapia_', 'sweet_basil'): 0, ('cichlidae__tilapia_', 'cucumber'): 7, ('cichlidae__tilapia_', 'pepper__capsicum_'): 0, ('cichlidae__tilapia_', 'garden_tomato'): 4, ('cichlidae__tilapia_', 'garden_onion'): 1, ('cichlidae__tilapia_', 'pepper'): 20, ('cichlidae__tilapia_', 'wheat_bread'): 17, ('egg_roll', 'sweet_basil'): 0, ('egg_roll', 'cucumber'): 7, ('egg_roll', 'pepper__capsicum_'): 0, ('egg_roll', 'garden_tomato'): 5, ('egg_roll', 'garden_onion'): 1, ('egg_roll', 'pepper'): 21, ('egg_roll', 'wheat_bread'): 19, ('sweet_basil', 'cucumber'): 1, ('sweet_basil', 'pepper__capsicum_'): 0, ('sweet_basil', 'garden_tomato'): 12, ('sweet_basil', 'garden_onion'): 0, ('sweet_basil', 'pepper'): 6, ('sweet_basil', 'wheat_bread'): 2, ('cucumber', 'pepper__capsicum_'): 0, ('cucumber', 'garden_tomato'): 9, ('cucumber', 'garden_onion'): 1, ('cucumber', 'pepper'): 29, ('cucumber', 'wheat_bread'): 22, ('pepper__capsicum_', 'garden_tomato'): 0, ('pepper__capsicum_', 'garden_onion'): 0, ('pepper__capsicum_', 'pepper'): 6, ('pepper__capsicum_', 'wheat_bread'): 0, ('garden_tomato', 'garden_onion'): 2, ('garden_tomato', 'pepper'): 38, ('garden_tomato', 'wheat_bread'): 27, ('garden_onion', 'pepper'): 21, ('garden_onion', 'wheat_bread'): 17, ('pepper', 'wheat_bread'): 27, ('wheat_bread', 'wheat_bread'): 44}",6.846153846153846,14,Tilapia Fish Burgers,"['mustard', 'garlic', 'oil', 'avocado', 'tilapia', 'egg', 'basil', 'cucumber', 'paprika', 'tomato', 'onion', 'pepper', 'breadcrumb', 'bun']",1,0.0
7,{},{},0.0,0.0,"{('egg_roll', 'butter'): 0, ('egg_roll', 'dried_milk'): 5, ('egg_roll', 'vanilla'): 0, ('egg_roll', 'sugar_apple'): 1, ('butter', 'dried_milk'): 0, ('butter', 'vanilla'): 0, ('butter', 'sugar_apple'): 0, ('dried_milk', 'vanilla'): 0, ('dried_milk', 'sugar_apple'): 0, ('vanilla', 'sugar_apple'): 1}",0.7,5,Simple Custard,"['egg', 'butter', 'milk', 'vanilla', 'sugar']",1,0.0
8,{},{},0.0,0.0,"{('egg_yolk', 'tapioca_pearl'): 0, ('egg_yolk', 'honey'): 0, ('egg_yolk', 'egg_roll'): 0, ('egg_yolk', 'potato'): 0, ('egg_yolk', 'dried_milk'): 0, ('egg_yolk', 'ice_cream'): 0, ('egg_yolk', 'vanilla'): 0, ('tapioca_pearl', 'honey'): 1, ('tapioca_pearl', 'egg_roll'): 0, ('tapioca_pearl', 'potato'): 18, ('tapioca_pearl', 'dried_milk'): 0, ('tapioca_pearl', 'ice_cream'): 4, ('tapioca_pearl', 'vanilla'): 3, ('honey', 'egg_roll'): 2, ('honey', 'potato'): 23, ('honey', 'dried_milk'): 0, ('honey', 'ice_cream'): 17, ('honey', 'vanilla'): 3, ('egg_roll', 'potato'): 11, ('egg_roll', 'dried_milk'): 5, ('egg_roll', 'ice_cream'): 13, ('egg_roll', 'vanilla'): 0, ('potato', 'dried_milk'): 7, ('potato', 'ice_cream'): 47, ('potato', 'vanilla'): 3, ('dried_milk', 'ice_cream'): 3, ('dried_milk', 'vanilla'): 0, ('ice_cream', 'vanilla'): 3, ('ice_cream', 'ice_cream'): 48, ('vanilla', 'ice_cream'): 4}",8.305555555555555,9,Easy Custard Recipe,"['egg yolk', 'tapioca', 'honey', 'egg', 'starch', 'milk', 'heavy cream', 'vanilla extract', 'cream']",1,0.0
9,{},{},0.0,0.0,"{('egg_roll', 'dried_milk'): 5, ('egg_roll', 'vanilla'): 0, ('egg_roll', 'nutmeg'): 0, ('egg_roll', 'sugar_apple'): 1, ('dried_milk', 'vanilla'): 0, ('dried_milk', 'nutmeg'): 0, ('dried_milk', 'sugar_apple'): 0, ('vanilla', 'nutmeg'): 3, ('vanilla', 'sugar_apple'): 1, ('nutmeg', 'sugar_apple'): 1}",1.1,5,Easy Egg Custard,"['egg', 'milk', 'vanilla', 'nutmeg', 'sugar']",1,0.0
